comprimento,altura,largura,amostra
20.06,14.93,4.95,C
19.95,15.05,5.04,C
20.08,14.91,4.97,C
20.06,14.94,5.02,C
19.97,15.04,4.97,C
20.0,15.0,5.01,C
20.0,15.01,4.9,C
20.06,14.94,5.13,C
19.99,15.01,4.98,C
20.06,14.94,5.02,C
20.05,14.95,4.94,C
19.97,15.03,5.0,C
20.01,14.99,4.89,C
20.01,14.99,5.05,C
20.15,14.84,4.97,C
20.02,14.98,5.06,C
20.03,14.97,4.97,C
19.96,15.04,4.99,C
20.08,14.92,4.96,C
19.95,15.05,4.9,C
19.98,15.02,5.02,C
20.02,14.98,5.01,C
20.07,14.93,5.0,C
20.05,14.94,4.96,C
19.95,15.05,4.94,C
19.95,15.05,4.99,C
20.05,14.95,5.12,C
20.08,14.91,5.01,C
20.06,14.94,4.91,C
19.99,15.01,4.97,C
20.05,14.94,5.0,C
19.97,15.04,4.95,C
20.06,14.94,4.98,C
20.0,15.0,5.04,C
20.03,14.97,5.02,C
20.08,14.92,5.02,C
20.03,14.97,4.93,C
20.04,14.96,5.06,C
20.07,14.93,4.89,C
19.97,15.04,5.03,C
20.02,14.98,5.01,C
20.06,14.93,4.98,C
19.94,15.06,4.97,C
19.96,15.04,4.98,C
20.03,14.97,5.02,C
20.13,14.86,5.02,C
20.0,15.0,5.06,C
20.05,14.95,5.03,C
20.04,14.96,5.05,C
20.01,14.99,4.97,C
20.03,14.97,5.02,C
20.12,14.87,4.99,C
20.03,14.97,4.97,C
19.96,15.04,4.96,C
19.97,15.02,4.98,C
19.96,15.04,5.01,C
20.15,14.83,4.95,C
20.05,14.94,5.0,C
20.0,15.0,5.1,C
20.03,14.97,5.04,C
19.97,15.03,4.97,C
20.05,14.95,4.94,C
19.94,15.06,4.98,C
20.03,14.97,5.0,C
20.03,14.97,5.01,C
20.17,14.82,5.12,C
20.11,14.89,5.02,C
20.12,14.88,4.92,C
20.2,14.78,5.02,C
20.0,15.0,4.97,C
19.97,15.03,4.99,C
19.99,15.01,5.07,C
20.14,14.85,4.97,C
20.03,14.97,4.98,C
20.01,14.99,5.04,C
20.05,14.95,5.02,C
19.96,15.04,5.01,C
20.03,14.97,5.07,C
19.96,15.04,4.93,C
19.95,15.05,4.98,C
20.05,14.94,5.05,C
20.0,15.0,5.08,C
20.1,14.9,5.09,C
19.98,15.02,5.01,C
20.0,15.01,4.97,C
20.14,14.85,5.0,C
19.98,15.02,5.05,C
20.13,14.86,5.02,C
19.98,15.01,5.0,C
20.13,14.86,4.95,C
19.94,15.06,5.07,C
20.01,14.99,4.93,C
20.05,14.94,5.08,C
20.02,14.99,4.97,C
19.97,15.03,4.96,C
19.99,15.01,4.96,C
20.14,14.85,4.97,C
19.94,15.06,4.99,C
19.97,15.02,5.07,C
19.99,15.01,5.02,C
20.06,14.94,5.04,C
20.01,14.99,4.92,D
20.07,14.93,4.97,D
20.04,14.95,5.01,D
19.98,15.02,4.9,D
20.07,14.92,4.95,D
20.0,15.0,4.89,D
20.01,14.99,5.05,D
20.0,15.0,4.95,D
19.98,15.02,5.08,D
19.95,15.05,4.95,D
20.11,14.89,4.94,D
19.94,15.06,4.99,D
20.0,15.0,4.89,D
20.1,14.9,5.08,D
20.22,14.76,5.01,D
20.17,14.82,5.01,D
19.98,15.02,5.08,D
19.97,15.03,4.99,D
20.04,14.96,4.98,D
20.01,14.99,4.92,D
20.12,14.88,5.05,D
19.98,15.02,5.02,D
20.07,14.92,4.93,D
20.02,14.99,4.94,D
19.97,15.03,5.02,D
20.02,14.98,4.91,D
19.97,15.04,5.0,D
19.98,15.02,4.99,D
19.99,15.01,4.96,D
20.01,14.99,5.04,D
19.95,15.05,4.87,D
20.15,14.83,4.97,D
20.04,14.96,5.0,D
19.97,15.03,4.95,D
19.99,15.01,5.04,D
20.04,14.96,5.04,D
20.0,15.0,4.97,D
20.04,14.96,4.95,D
19.99,15.01,5.01,D
19.99,15.01,5.02,D
20.05,14.94,5.01,D
19.99,15.01,5.01,D
19.94,15.06,5.01,D
20.02,14.98,4.92,D
20.06,14.93,4.95,D
19.97,15.03,5.06,D
19.95,15.05,5.0,D
20.23,14.74,5.05,D
20.05,14.95,4.91,D
20.2,14.77,4.97,D
20.07,14.93,5.03,D
19.95,15.05,4.93,D
19.97,15.03,5.01,D
19.97,15.03,4.93,D
19.99,15.01,4.97,D
19.94,15.06,5.01,D
20.05,14.95,5.04,D
20.15,14.83,5.06,D
20.01,14.99,5.05,D
19.97,15.03,5.05,D
19.95,15.05,4.98,D
19.98,15.02,5.03,D
19.98,15.02,4.91,D
20.04,14.96,4.95,D
20.07,14.92,5.05,D
20.06,14.93,5.08,D
20.02,14.98,4.96,D
20.03,14.97,4.95,D
20.03,14.97,4.85,D
20.09,14.91,5.05,D
20.09,14.91,4.91,D
19.97,15.03,5.04,D
19.95,15.05,5.0,D
20.05,14.95,5.01,D
20.04,14.96,5.05,D
19.98,15.02,5.04,D
20.0,15.0,5.06,D
20.03,14.97,5.0,D
20.07,14.93,4.95,D
20.06,14.94,4.98,D
20.0,15.0,4.94,D
20.1,14.9,5.0,D
20.14,14.84,5.11,D
20.12,14.88,5.07,D
20.01,14.99,5.02,D
20.02,14.98,5.02,D
20.07,14.93,5.08,D
20.02,14.98,4.89,D
20.04,14.96,4.98,D
20.01,14.99,4.95,D
19.95,15.05,4.95,D
20.18,14.8,4.99,D
20.03,14.97,4.93,D
19.98,15.02,5.04,D
19.96,15.04,5.07,D
20.12,14.88,5.02,D
19.99,15.01,5.02,D
19.95,15.05,5.0,D
19.95,15.05,5.06,D
19.99,15.01,5.03,D
20.03,14.97,4.91,D
20.05,14.95,5.04,D
20.03,14.97,4.94,D
19.98,15.02,5.02,D
20.05,14.94,5.01,D
20.0,15.01,4.92,D
20.02,14.99,5.04,D
19.98,15.02,4.99,D
20.02,14.98,4.96,D
20.01,14.99,5.08,D
20.03,14.97,4.94,D
19.96,15.04,4.98,D
20.01,14.99,4.92,D
19.98,15.02,4.95,D
20.07,14.92,4.98,D
19.99,15.01,5.08,D
19.94,15.06,4.95,D
19.97,15.03,5.05,D
20.1,14.9,5.19,D
20.05,14.95,4.92,D
20.01,14.99,5.01,D
20.02,14.98,5.02,D
20.03,14.97,4.98,D
20.05,14.94,5.07,D
19.98,15.02,5.04,D
20.07,14.93,4.93,D
20.0,15.0,5.05,D
20.03,14.97,5.02,D
19.97,15.04,5.02,D
19.96,15.04,5.02,D
20.1,14.9,4.97,D
19.99,15.01,5.01,D
20.07,14.92,5.0,D
20.01,14.99,4.92,D
19.97,15.03,4.93,D
20.0,15.0,5.04,D
20.05,14.94,5.03,D
19.96,15.04,5.03,D
19.97,15.03,5.0,D
19.94,15.06,5.01,D
20.02,14.98,5.02,D
19.97,15.03,5.02,D
19.92,15.07,5.04,D
20.0,15.0,5.02,D
20.07,14.92,4.98,D
19.98,15.02,5.01,D
19.99,15.01,5.14,D
20.04,14.96,5.09,D
20.1,14.9,4.97,D
20.06,14.94,5.04,D
20.04,14.96,5.03,D
19.97,15.03,4.96,D
20.01,14.99,4.98,D
20.07,14.93,4.95,D
20.14,14.86,4.94,D
20.01,14.99,4.98,D
20.04,14.96,4.92,D
20.08,14.91,5.03,D
19.96,15.04,5.06,D
20.0,15.0,5.02,D
19.95,15.05,4.99,D
20.0,15.0,5.04,D
19.97,15.02,5.01,D
20.02,14.98,4.96,D
19.96,15.04,5.04,D
19.96,15.04,4.94,D
20.0,15.0,4.94,D
20.01,14.99,5.05,D
20.01,14.99,4.99,D
20.02,14.99,5.05,D
20.08,14.92,4.94,D
20.02,14.98,4.95,D
20.07,14.93,4.95,D
20.08,14.91,4.97,D
19.96,15.04,4.99,D
20.03,14.97,4.9,D
20.12,14.88,5.02,D
19.96,15.04,5.05,D
20.08,14.92,4.98,D
20.11,14.89,4.95,D
19.98,15.02,4.98,D
20.07,14.93,4.99,D
19.98,15.02,4.96,D
20.0,15.01,4.99,D
19.96,15.04,5.08,D
19.97,15.03,4.95,D
20.06,14.93,4.88,D
19.99,15.01,4.95,D
20.03,14.97,5.02,D
20.04,14.96,5.0,D
19.94,15.06,4.89,D
20.14,14.84,4.94,D
20.18,14.8,5.01,D
20.03,14.97,5.03,D
20.1,14.9,5.0,D
20.0,15.0,5.09,D
19.98,15.02,5.02,D
20.02,14.98,5.02,D
20.07,14.92,5.12,D
20.01,14.99,5.04,D
20.02,14.98,4.97,E
20.04,14.95,4.92,E
19.96,15.04,4.93,E
20.01,14.99,4.94,E
19.99,15.01,4.95,E
19.95,15.05,5.05,E
20.06,14.93,4.93,E
20.06,14.93,4.99,E
19.96,15.04,5.07,E
20.09,14.9,5.08,E
20.12,14.87,5.03,E
20.0,15.01,5.01,E
20.03,14.97,4.86,E
19.98,15.02,5.05,E
20.17,14.81,4.93,E
20.02,14.98,5.01,E
20.08,14.92,5.06,E
20.11,14.89,5.05,E
19.99,15.01,4.91,E
20.03,14.97,5.03,E
20.05,14.94,5.05,E
20.1,14.9,4.94,E
20.0,15.0,5.02,E
20.01,14.99,5.05,E
20.0,15.0,4.99,E
20.01,14.99,4.95,E
20.05,14.95,4.99,E
19.97,15.04,5.03,E
20.02,14.98,5.0,E
19.98,15.01,5.07,E
19.97,15.03,5.03,E
20.03,14.97,4.97,E
20.12,14.88,4.97,E
19.97,15.03,5.0,E
19.99,15.01,4.95,E
19.97,15.04,5.0,E
20.14,14.84,5.04,E
20.07,14.93,4.91,E
20.05,14.95,5.02,E
19.99,15.01,4.99,E
20.13,14.86,4.97,E
19.94,15.07,4.98,E
19.98,15.02,5.0,E
20.0,15.0,4.99,E
20.02,14.99,5.02,E
20.02,14.99,4.97,E
19.99,15.01,4.97,E
20.0,15.0,4.98,E
19.97,15.03,4.98,E
19.98,15.02,5.01,E
19.97,15.04,4.97,E
20.01,14.99,5.01,E
20.06,14.93,4.92,E
20.15,14.83,5.02,E
20.12,14.87,5.03,E
19.97,15.03,4.9,E
20.09,14.9,5.02,E
20.02,14.98,5.03,E
20.0,15.0,5.03,E
19.98,15.02,5.01,E
20.03,14.97,4.92,E
19.99,15.01,5.01,E
20.09,14.9,5.09,E
19.98,15.02,5.02,E
20.06,14.93,4.96,E
19.96,15.04,5.03,E
20.0,15.0,5.07,E
20.12,14.88,5.03,E
20.14,14.85,4.94,E
19.98,15.02,4.98,E
19.97,15.03,5.04,E
19.99,15.01,5.02,E
20.0,15.0,5.0,E
20.06,14.94,4.92,E
20.03,14.97,4.95,E
20.01,14.99,5.01,E
20.0,15.0,4.99,E
19.98,15.02,4.95,E
20.06,14.93,5.0,E
20.01,14.99,4.96,E
19.93,15.07,4.97,E
20.02,14.98,5.01,E
20.05,14.95,5.05,E
20.02,14.98,5.02,E
19.98,15.02,5.07,E
20.07,14.92,4.93,E
20.02,14.98,5.1,E
19.97,15.03,4.92,E
20.1,14.89,5.05,E
20.12,14.87,5.04,E
19.99,15.01,4.98,E
19.95,15.05,5.03,E
20.08,14.92,4.98,E
20.05,14.94,5.0,E
19.99,15.01,5.06,E
20.01,14.99,5.07,E
20.03,14.97,5.06,E
20.03,14.97,5.02,E
19.97,15.03,4.95,E
20.08,14.91,4.97,E
20.03,14.97,4.95,E
19.99,15.01,5.0,E
20.14,14.85,4.9,E
20.0,15.0,4.95,E
20.06,14.94,4.97,E
20.02,14.98,4.97,E
20.13,14.86,4.97,E
19.97,15.03,5.06,E
20.08,14.92,5.04,E
20.21,14.76,5.02,E
19.98,15.02,4.97,E
20.04,14.96,5.04,E
20.13,14.87,5.04,E
20.02,14.98,5.03,E
19.96,15.04,4.92,E
19.98,15.01,5.04,E
20.06,14.93,5.01,E
20.0,15.0,5.03,E
19.98,15.02,4.96,E
20.04,14.96,4.95,E
20.03,14.97,5.01,E
19.97,15.04,4.97,E
20.0,15.0,4.97,E
20.06,14.93,5.03,E
20.06,14.94,5.0,E
19.92,15.07,4.97,E
20.1,14.9,5.1,E
20.1,14.9,4.98,E
20.02,14.98,4.96,E
20.02,14.98,5.05,E
20.0,15.0,5.02,E
20.0,15.01,5.02,E
19.97,15.03,5.03,E
20.0,15.0,4.95,E
20.01,14.99,4.99,E
20.02,14.98,5.01,E
19.93,15.07,5.06,E
20.03,14.97,4.92,E
20.07,14.92,5.11,E
20.0,15.0,4.84,E
20.02,14.98,5.02,E
20.09,14.91,5.01,E
19.95,15.05,4.97,E
19.98,15.02,5.02,E
20.08,14.92,5.02,E
20.14,14.85,4.98,E
20.03,14.97,5.0,E
19.97,15.04,4.99,E
20.02,14.98,4.96,E
19.99,15.01,4.99,E
20.01,14.99,4.92,E
20.07,14.92,5.03,E
20.03,14.97,5.1,E
20.11,14.89,5.02,E
20.07,14.92,5.02,E
20.05,14.94,5.02,E
20.04,14.96,5.01,E
20.05,14.95,4.97,E
20.03,14.97,4.86,E
20.13,14.86,5.03,E
20.19,14.79,4.97,E
19.95,15.05,5.04,E
20.13,14.87,4.99,E
19.95,15.05,4.96,E
20.1,14.9,5.03,E
19.98,15.02,5.01,E
20.05,14.94,5.01,E
20.0,15.0,5.02,E
20.08,14.92,5.02,E
20.01,14.99,4.92,E
20.11,14.89,5.0,E
20.02,14.98,5.01,E
20.06,14.94,5.02,E
20.07,14.93,5.01,E
19.94,15.07,5.06,E
20.09,14.91,4.99,E
19.92,15.07,5.01,E
20.04,14.97,5.03,E
20.11,14.89,5.02,E
19.93,15.07,4.99,E
20.09,14.91,5.0,E
19.96,15.04,4.98,E
19.98,15.02,5.05,E
20.0,15.0,4.99,E
19.97,15.03,5.04,E
20.13,14.86,4.98,E
19.96,15.04,5.06,E
19.95,15.05,5.0,E
19.99,15.01,4.94,E
20.05,14.95,5.0,E
20.01,14.99,4.99,E
19.98,15.02,5.03,E
20.09,14.9,4.95,E
19.98,15.02,5.01,E
20.02,14.98,5.02,E
20.08,14.92,4.97,E
20.13,14.86,5.0,E
20.0,15.0,5.06,E
20.04,14.96,5.1,E
20.03,14.97,4.98,E
